Company Name,Practice Type,URL,Phone Number,Owner Name,Time,Date Booked,Meeting Date,Meeting Status,Next Step,Credit
Kievit Dentistry,Dentist,http://www.kievitdentistry.com/,(860) 521-6767,Alyssa / Rob Kievit,,5/5/25,8/27/25,Cancelled,,
Lafreniere Eyecare,Dentist,https://bracesofmaine.com/contact-us/?utm_source=google&utm_medium=mybusiness,(603) 692-3020,Dr. Charles F. LaFreniere,,7/30/25,1/19/25,Scheduled,,
Advanced Dental of Wallingford,Dentist,https://www.advanceddentalwallingford.com/,(203) 269-4730,Ryan Ku,,5/19/25,5/28/25,Cancelled,,
"Greenwich Dental Group | David A. Zadik DDS, Steven Altman DMD and Marc J. Novak DMD",Dentist,https://www.greenwichdentalgroup.com/,(203) 869-3984,Dr. David Zadik,,6/16/25,6/30/25,Ran,,
"Michael K. Hwang, DMD, LLC",Dentist,http://www.easthartfordctdentist.com/,(860) 528-3427,"Michael K. Hwang, DMD",,6/3/25,6/9/25,Ran,,
Smile Design Boston,Dentist,http://www.windsorfamilydentists.com/,(617) 314-6399,Dr. Andre Hashem,,7/21/25,8/13/25,Scheduled,,
Coletti Family Dentistry,Dentist,https://www.colettifd.com/,(781) 862-8662,Dr. Matthew Coletti,,8/13/25,,Scheduled,,
Biddeford Saco Orthodontics,Dentist,https://www.familydentalandortho.com/boston?utm_source=gmb&utm_medium=organic&utm_campaign=gmborganic,(207) 503-0023,Dr. Amanda Paradis,,7/24/25,8/7/25,Scheduled,,
Harvey Family Dental,Dentist,http://harveydentalma.com/,(617) 675-1500,Dr. Harvey,,6/27/25,7/9/25,Cancelled,,
Dr. Samvel Martirosyan DMD,Dentist,http://smdentalma.com/,(617) 923-0669,Dr. Samvel Martirosyan,,8/13/25,1/18/25,Ran,,
Advanced Cosmetic and Implant Dentistry,Dentist,https://www.hartfordcosmeticdentist.com/locations/glastonbury-office/?utm_source=GBP,(860) 659-8660,Dr. Avinash S. Bidra,,5/19/25,6/2/25,Cancelled,,
The Face Dental Group,Dentist,https://www.facedentalgroup.com/,(617) 236-5969,Dr. James Katib,,6/24/25,7/18/25,Cancelled,,
Comprehensive Dental Care,Dentist,https://www.westhartforddentalcare.com/,(860) 233-7514,Dr. Joe Parets,,4/18/25,5/7/25,Cancelled,,
Litchfield Dental Associates,Dentist,https://litchfielddentalassociates.com/,(860) 567-9488,Dr. Steven Sideris,,6/3/25,6/11/25,Ran,,
Stafford Dental Associates LLC,Dentist,http://stafforddentalassociates.com/,(860) 684-5296,Dr. David Janton,,5/14/25,5/28/25,Cancelled,,
Dental Arts of Boston,Dentist,http://www.bostoncosmeticdentistma.com/,(857) 376-6559,George Stevens,,6/24/25,7/10/25,Ran,,
Farmington Avenue Dental Care,Dentist,https://farmingtonavedentalcare.com/,(860) 200-3922,Robert Katz,,5/22/25,6/11/25,Scheduled,,
Arsenal Modern Dentistry,Dentist,https://www.arsenalmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A1024%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_NTgzOTAzMjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(857) 263-3895,Brock Riedel,,8/13/25,,Scheduled,,
AP Dental - Staniford Street,Dentist,https://bostonsmilesdental.com/,(617) 581-0689,Dr. Anya Pukhovitskaya,,7/22/25,8/4/25,Scheduled,,
